asset,date,open,max,min,close,volume_usd,quantity
SJCFUT,2024-09-19 11:01:00,"25,02","25,02","25,02","25,02","56.305,82",5
SJCFUT,2024-09-19 11:00:00,"25,05","25,05","25,05","25,05","11.271,22",1
SJCFUT,2024-09-19 10:59:00,"25,04","25,05","25,04","25,05","101.430,91",9
SJCFUT,2024-09-19 10:58:00,"25,05","25,05","25,04","25,04","135.229,49",12
SJCFUT,2024-09-19 10:57:00,"25,07","25,07","25,07","25,07","33.843,82",3
SJCFUT,2024-09-19 10:56:00,"25,05","25,05","25,05","25,05","56.356,09",5
SJCFUT,2024-09-19 10:54:00,"25,05","25,05","25,05","25,05","22.542,44",2
SJCFUT,2024-09-19 10:53:00,"25,02","25,02","25,02","25,02","56.305,82",5
SJCFUT,2024-09-19 10:52:00,"25,00","25,02","25,00","25,02","45.024,55",4
SJCFUT,2024-09-19 10:51:00,"25,00","25,00","25,00","25,00","11.251,11",1
SJCFUT,2024-09-19 10:49:00,"25,04","25,04","25,04","25,04","45.064,77",4
SJCFUT,2024-09-19 10:46:00,"25,00","25,00","25,00","25,00","11.251,11",1
SJCFUT,2024-09-19 10:43:00,"24,98","24,98","24,98","24,98","33.723,16",3
SJCFUT,2024-09-19 10:41:00,"25,00","25,00","25,00","25,00","303.779,95",27
SJCFUT,2024-09-19 10:34:00,"24,91","24,91","24,91","24,91","56.054,45",5
SJCFUT,2024-09-19 10:31:00,"24,98","24,98","24,92","24,92","134.842,38",12
SJCFUT,2024-09-19 10:30:00,"25,00","25,00","24,96","24,97","78.707,49",7
SJCFUT,2024-09-19 10:24:00,"25,00","25,00","25,00","25,00","33.753,33",3
SJCFUT,2024-09-19 09:57:00,"25,01","25,02","25,01","25,02","67.561,96",6
SJCFUT,2024-09-19 09:39:00,"24,96","24,96","24,96","24,96","89.848,00",8
SJCFUT,2024-09-19 09:30:00,"24,92","24,92","24,92","24,92","22.431,84",2
SJCFUT,2024-09-19 09:28:00,"24,92","24,92","24,92","24,92","33.647,75",3
SJCFUT,2024-09-19 09:26:00,"24,95","24,95","24,95","24,95","22.451,95",2
SJCFUT,2024-09-19 09:25:00,"24,92","24,92","24,92","24,92","224.318,37",20
SJCFUT,2024-09-19 09:18:00,"24,88","24,88","24,88","24,88","33.587,43",3
SJCFUT,2024-09-19 09:05:00,"24,86","24,86","24,86","24,86","22.371,51",2
SJCFUT,2024-09-19 09:02:00,"24,85","24,85","24,85","24,85","11.180,73",1
SJCFUT,2024-09-18 15:02:00,"24,98","25,02","24,98","25,02","90.028,98",8
SJCFUT,2024-09-18 15:01:00,"25,00","25,00","25,00","25,00","22.502,22",2
SJCFUT,2024-09-18 15:00:00,"24,97","24,97","24,97","24,97","56.180,14",5
SJCFUT,2024-09-18 14:56:00,"24,91","24,91","24,91","24,91","22.421,78",2
SJCFUT,2024-09-18 13:31:00,"24,79","24,80","24,79","24,80","78.099,19",7
SJCFUT,2024-09-18 13:29:00,"24,81","24,81","24,81","24,81","22.331,29",2
SJCFUT,2024-09-18 13:28:00,"24,83","24,83","24,83","24,83","223.514,00",20
SJCFUT,2024-09-18 13:12:00,"24,86","24,86","24,86","24,86","22.371,51",2
SJCFUT,2024-09-18 13:07:00,"24,88","24,89","24,88","24,89","78.400,83",7
SJCFUT,2024-09-18 12:59:00,"24,81","24,81","24,81","24,81","22.331,29",2
SJCFUT,2024-09-18 12:58:00,"24,80","24,80","24,80","24,80","44.642,47",4
SJCFUT,2024-09-18 12:53:00,"24,80","24,80","24,80","24,80","133.927,41",12
SJCFUT,2024-09-18 12:52:00,"24,82","24,82","24,82","24,82","11.170,67",1
SJCFUT,2024-09-18 12:50:00,"24,80","24,82","24,80","24,82","100.455,62",9
SJCFUT,2024-09-18 12:49:00,"24,82","24,82","24,82","24,82","33.512,02",3
SJCFUT,2024-09-18 12:42:00,"24,81","24,81","24,80","24,80","122.771,82",11
SJCFUT,2024-09-18 12:32:00,"24,89","24,89","24,89","24,89","56.004,18",5
SJCFUT,2024-09-18 12:09:00,"24,88","24,88","24,88","24,88","55.979,05",5
SJCFUT,2024-09-18 12:06:00,"24,90","24,90","24,90","24,90","44.823,45",4
SJCFUT,2024-09-18 12:05:00,"24,91","24,91","24,91","24,91","11.210,89",1
SJCFUT,2024-09-18 12:04:00,"24,92","24,92","24,92","24,92","11.215,92",1
SJCFUT,2024-09-18 12:03:00,"24,94","24,94","24,94","24,94","44.883,78",4
SJCFUT,2024-09-18 12:00:00,"24,98","24,98","24,98","24,98","33.723,16",3
SJCFUT,2024-09-18 11:58:00,"24,99","24,99","24,99","24,99","44.984,33",4
SJCFUT,2024-09-18 11:56:00,"24,99","24,99","24,99","24,99","56.230,41",5
SJCFUT,2024-09-18 11:37:00,"25,04","25,04","25,04","25,04","11.266,19",1
SJCFUT,2024-09-18 11:29:00,"25,06","25,06","25,06","25,06","11.276,25",1
SJCFUT,2024-09-18 11:21:00,"25,11","25,11","25,11","25,11","22.602,76",2
SJCFUT,2024-09-18 11:20:00,"25,11","25,11","25,11","25,11","11.301,38",1
SJCFUT,2024-09-18 11:19:00,"25,13","25,14","25,11","25,11","56.527,02",5
SJCFUT,2024-09-18 11:17:00,"25,10","25,10","25,10","25,10","67.778,13",6
SJCFUT,2024-09-18 11:15:00,"25,08","25,08","25,08","25,08","22.572,60",2
SJCFUT,2024-09-18 11:12:00,"25,08","25,08","25,08","25,08","11.286,30",1
SJCFUT,2024-09-18 11:09:00,"25,06","25,06","25,06","25,06","11.276,25",1
